timestamp,open,high,low,close,volume
2025-06-18,235.9600,239.5200,232.2400,235.8900,7761472
2025-06-17,236.7300,238.9700,234.8800,235.7500,5614975
2025-06-16,237.6000,239.9400,236.0700,236.5400,4505620
2025-06-13,235.0000,238.0000,233.7000,236.6000,7420262
2025-06-12,240.0000,243.4300,238.6801,239.9900,8946617
2025-06-11,242.6400,246.9600,238.5100,245.5200,6940798
2025-06-10,250.7800,251.2500,239.7500,242.0000,11230947
2025-06-09,254.0200,255.3199,251.1400,251.4100,5771646
2025-06-06,253.0000,257.4700,252.0700,255.6300,5796716
2025-06-05,252.4800,253.0100,250.1100,251.9200,4190991
2025-06-04,249.9800,253.0635,249.7200,250.8800,5811524
2025-06-03,247.5000,250.5000,244.1800,248.8700,6456191
2025-06-02,245.8500,248.1000,244.5100,247.4800,5450779
2025-05-30,243.3900,246.8600,242.3001,245.9100,9143044
2025-05-29,244.5300,244.9441,241.4923,244.1600,5245302
2025-05-28,241.7800,245.9990,241.6000,243.6700,9570520
2025-05-27,235.4200,242.2800,235.1000,241.7800,7162378
2025-05-23,228.8400,233.6919,228.0063,232.7900,4234172
2025-05-22,231.1900,232.4499,229.4200,230.2700,6909372
2025-05-21,234.8600,237.3000,232.6600,233.5400,4631038
2025-05-20,234.1600,236.0750,233.8000,235.2600,4311029
2025-05-19,229.5000,235.8700,228.9220,235.2900,4734383
2025-05-16,229.0700,232.3200,227.5900,231.7800,4651677
2025-05-15,223.4500,230.0850,223.4500,229.3800,7207673
2025-05-14,222.9400,223.3500,220.4500,223.2400,4764744
2025-05-13,220.0000,223.5500,219.3000,221.5800,7188720
2025-05-12,219.3400,219.9816,211.1500,218.9500,5467990
2025-05-09,215.2100,216.1200,212.7250,214.9600,3778216
2025-05-08,211.0000,216.8000,210.5100,214.4900,5870341
2025-05-07,208.9000,210.6300,208.2150,209.9200,3968437
2025-05-06,206.0200,209.8300,205.9200,208.6000,3169596
2025-05-05,206.3100,210.5200,205.6490,208.9400,4466856
2025-05-02,206.3200,208.7200,205.5600,207.7000,3831677
2025-05-01,202.2500,205.2400,200.8600,203.6100,4687571
2025-04-30,198.6000,202.0300,196.8600,201.5400,4436276
2025-04-29,200.4900,202.4281,199.6500,200.5000,3444238
2025-04-28,199.5000,201.4799,198.6000,200.8600,3416885
2025-04-25,198.7000,199.9900,197.2600,198.4300,4391023
2025-04-24,194.3300,197.7034,194.0500,197.4100,5906349
2025-04-23,195.9400,197.0341,192.5700,193.6800,7235665
2025-04-22,186.5000,190.0000,182.1000,189.1800,13040978
2025-04-21,179.2900,180.7900,176.0200,178.3500,8501565
2025-04-17,183.3900,184.2400,181.5900,181.7900,4931986
2025-04-16,184.0700,185.8800,181.2800,182.4500,5128278
2025-04-15,183.8800,188.4400,182.2900,185.6700,4999251
2025-04-14,185.3500,187.6069,183.8300,186.0000,5319143
2025-04-11,179.0100,184.2500,175.0500,181.6700,6491121
2025-04-10,181.9000,185.4100,175.9600,181.5100,8150888
2025-04-09,165.8100,189.1100,165.7000,187.2700,12548617
2025-04-08,176.0000,178.3500,166.3600,169.3700,11903411
2025-04-07,163.2100,175.3400,159.3600,167.7000,18545455
2025-04-04,179.6800,183.1600,165.4200,166.8100,18167104
