timestamp,open,high,low,close,volume
2025-06-18,329.8500,338.1600,329.8000,334.8600,2969142
2025-06-17,336.6300,338.3500,329.8200,330.5100,1870167
2025-06-16,330.0900,339.7050,328.2950,338.0100,3393439
2025-06-13,324.4900,328.4150,322.3106,323.6600,1565425
2025-06-12,322.9800,331.4550,322.4549,330.3400,1777321
2025-06-11,323.8600,327.8650,320.3100,325.7100,1424025
2025-06-10,327.5000,327.5000,318.7600,324.2400,1882177
2025-06-09,332.0100,333.3600,325.4600,325.8100,1621813
2025-06-06,331.2000,333.5000,329.7750,331.4500,2206481
2025-06-05,328.8700,328.9250,324.4400,326.4800,1600949
2025-06-04,327.0000,329.6800,325.5300,327.0800,1669745
2025-06-03,322.9600,327.6600,321.0900,325.8400,1979041
2025-06-02,319.4800,319.9150,311.9000,318.8600,1929142
2025-05-30,322.0500,323.5000,316.8100,320.2000,3788252
2025-05-29,329.9000,330.7900,323.3400,324.8100,1618185
2025-05-28,329.1200,330.0000,324.9100,325.6700,1982698
2025-05-27,324.7200,328.9300,323.3700,328.1600,1568849
2025-05-23,315.1900,322.8900,312.9124,321.0600,1432398
2025-05-22,319.9600,323.7450,315.7100,321.0700,1677806
2025-05-21,324.6000,329.9000,322.0100,322.3300,1725604
2025-05-20,326.5300,330.0550,325.5000,328.2500,1654516
2025-05-19,323.2200,329.8700,322.2000,329.2900,1482174
2025-05-16,328.4200,329.5000,325.1200,329.0700,1997690
2025-05-15,326.7500,330.8200,326.2100,326.8200,2300632
2025-05-14,330.6300,333.9800,328.2700,329.0900,1886783
2025-05-13,323.6900,333.9600,322.2900,330.7500,3439071
2025-05-12,324.9500,324.9500,319.1500,322.0900,3542369
2025-05-09,309.6800,311.7000,306.7700,309.8700,2038726
2025-05-08,304.5400,310.0000,304.2200,307.0400,2076705
2025-05-07,299.5100,303.2950,296.9300,302.2000,1888870
2025-05-06,296.2800,301.2500,296.0877,298.1100,2460451
2025-05-05,296.1700,301.5100,293.0700,298.5800,2455025
2025-05-02,293.7200,303.9659,286.6000,299.7100,5932238
2025-05-01,302.0000,306.1000,300.2469,301.6600,4722713
2025-04-30,284.4200,295.1000,283.0000,294.3700,2541698
2025-04-29,287.9700,291.6900,284.8200,290.6900,1965345
2025-04-28,288.0600,293.5400,283.1100,287.7400,2969782
2025-04-25,285.7700,290.8800,285.7700,288.8200,2177484
2025-04-24,277.6000,288.2600,275.9800,287.0200,2751643
2025-04-23,288.9500,288.9500,274.9350,275.6600,3149028
2025-04-22,263.1500,268.7900,262.4108,266.9100,2270723
2025-04-21,264.1200,264.4600,255.1000,259.4700,2863477
2025-04-17,272.0000,272.0000,265.9700,268.3200,2539744
2025-04-16,272.4400,276.2000,264.8200,269.1600,3411359
2025-04-15,278.5000,280.0450,275.4500,277.1200,2217556
2025-04-14,282.8200,283.0000,274.0850,277.8300,2632038
2025-04-11,268.4700,278.6500,265.0900,277.5300,3833273
2025-04-10,273.9900,275.9000,261.5650,270.7200,4996047
2025-04-09,249.4600,286.6100,248.1800,283.5900,6041196
2025-04-08,264.6500,267.9200,245.3000,251.5000,5127519
2025-04-07,237.8500,262.9199,231.8500,252.4500,5543485
2025-04-04,249.4600,252.0000,236.5800,246.5200,5290998
2025-04-03,260.0300,271.4959,258.6000,260.8500,5553701
2025-04-02,270.6900,285.6700,270.0000,283.8400,2681462
2025-04-01,271.8100,278.0549,269.8450,276.7000,2468835
2025-03-31,268.0000,273.4500,262.6800,271.8300,4883121
2025-03-28,278.2600,279.7300,271.6500,274.1700,3254508
2025-03-27,283.8100,285.5431,278.1600,280.9100,3454860
2025-03-26,297.9700,297.9700,283.6800,285.5200,4710585
2025-03-25,303.3000,304.9400,295.9800,300.0000,3394091
2025-03-24,300.4900,304.5400,298.5600,302.8400,2897038
2025-03-21,291.7400,296.2499,289.4900,295.4400,3188310
2025-03-20,291.1000,300.2400,290.1200,295.5300,3422190
2025-03-19,290.7500,299.0550,290.1700,294.5600,3216597
2025-03-18,293.8200,295.5800,288.3650,290.6400,2736961
2025-03-17,295.2000,300.7600,293.6200,297.2300,2949351
2025-03-14,290.4500,294.6100,286.6000,293.6100,3317282
2025-03-13,290.0000,291.0200,280.4600,283.7000,5611113
2025-03-12,297.4600,300.0400,285.5400,292.0400,5691755
2025-03-11,276.5300,287.3900,274.6036,282.3100,4482239
2025-03-10,275.8800,282.6700,272.6700,277.6100,4146343
2025-03-07,275.5500,286.1500,273.7101,284.9800,4534066
2025-03-06,277.2200,280.6650,272.2800,277.5500,3286592
2025-03-05,283.4500,288.7600,278.4600,287.7300,3752895
2025-03-04,273.1200,285.5600,267.6300,279.2200,6809690
2025-03-03,294.9800,296.7200,276.2000,278.4600,4890939
2025-02-28,289.4500,293.3800,284.7900,293.3200,4806151
2025-02-27,300.4500,301.9600,288.9100,290.3800,4526048
2025-02-26,292.0900,299.6000,290.5700,297.3500,4303010
2025-02-25,287.2000,292.6500,282.4300,287.5500,6042131
2025-02-24,297.5400,298.7900,285.5100,289.8500,5861451
2025-02-21,308.7400,309.4000,295.0200,297.3700,4401546
2025-02-20,309.2000,310.0000,305.8402,308.8200,1983106
2025-02-19,310.5800,311.7420,307.3000,309.4300,2712511
2025-02-18,313.1700,316.5850,310.3900,313.1200,2682468
2025-02-14,309.5200,311.3750,307.5000,309.1700,3175126
2025-02-13,312.7600,312.7600,304.0700,307.8100,3015658
2025-02-12,308.2000,311.9600,305.6900,309.8800,2649651
2025-02-11,317.3600,318.2500,311.1000,316.5100,3216010
2025-02-10,314.6900,320.1500,312.4501,319.8800,2748671
2025-02-07,318.1000,322.6399,311.9700,313.0500,2634150
2025-02-06,316.0900,323.6800,312.7700,315.8500,3334355
2025-02-05,315.5500,316.7600,311.3000,315.2500,3084675
2025-02-04,319.0100,319.6000,313.0100,314.7000,2347029
2025-02-03,317.3400,322.1000,311.1239,315.4100,3304057
2025-01-31,322.0200,330.5500,314.4000,326.4400,6485559
2025-01-30,324.8300,329.5900,321.1100,327.1000,4758521
2025-01-29,313.5000,319.5500,310.1200,317.6000,4291560
2025-01-28,311.7600,313.6600,298.2900,312.6700,8863757
2025-01-27,329.4900,329.7600,306.1500,311.5500,10210645
