"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Rwanda","RWA","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.44118388376004","2.81418941605412","1.47209212352509","","2.82276772666607","","2.36155085258443","3.23384107490715","3.7648047317614","2.51654240129163","3.28558630470402","3.84290247392161","2.27421303750477","3.14763629654723","3.59034703252303","","","","",
"Rwanda","RWA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Rwanda","RWA","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","1.49253726005554","","1.49253726005554","","2.98507452011108","5.97014904022217","5.28846168518066","8.17307662963867","8.17307662963867","8.65384578704834","7.692307472229","7.5829381942749","7.10900497436523","7.0422534942627","7.0422534942627","9.38967132568359","10.837438583374","10.3448276519775","11.3300495147705","12.3152713775635","12.1359224319458","13.5265703201294","13.043478012085","17.3913040161133","17.8743953704834","18.1372547149658","",
"Rwanda","RWA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.7065725571508","76.1413118264606","75.5609992646773","72.0428662728622","73.436360078956","65.5030326850623","68.5727662518071","64.1641322113104","60.4622685148884","61.3478671817867","43.5388819607511","43.1690813475098","58.4698188162258","70.6473132072178","",
"Rwanda","RWA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","262883176.941886","330700895.42704","372943717.979301","407535145.656186","413555355.512546","516109181.792897","529435321.137552","593904756.850295","648338227.507082","746562221.377394","276666373.417844","347231358.327304","684535844.837445","798156597.646762","",
"Rwanda","RWA","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","3600000","4200000","900000","1600000","3000000","10000000","19800000","17200000","14400000","27976000","31672000","35151000","74184000","83230000","63911000","105300000","62214000","86772000","88106000","99044000","123143000","114286000","164119000","95576000","95003000","67957000","69238000","70280000","169307780.708065","71648799.6997569","41649030.3422599","43457451.8171477","145044145.166727","93437713.1809427","80556263.2239915","49317625.3465704","37665769","186011053","54108645","51277003","99462101","149021266","143083890","183512856","395361667","260587229","240070939","399957666","387159257","622448953","615811936","410364871","406763044","660399520","844900442","1162321607","1634206796","1196665949","1562504485","1576917613","",
"Rwanda","RWA","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","0.0161759948236817","0.00480595938964316","0.00469402763217599","","","0.118701885400821","9.6667650330284","7.16853115786923","0.0600927377114412","0.00524998687503281","","0.0177868921068051","0.0431565318989927","","","0.482356289129198","0.000536945735918849","5.66176756637847","","","0.0189497540269222","0.0041045437996342","0.123515027791728","","","0.00305143157272487","0.0445769802588847","0.453162209967693","0.213054015418395","0.0255507156944969","0.0354673052291212","0.0145559284413295","0.104394794551491","0.00164858424431844","0.0738281779286913","0.0681522128894512","0.174222878002889","0.0138305317383994","0.0134612525600673","0.057083102515371","0.0106683733048276","0.00399031180398193","0.0385305751798861","0.630078969184989","0.676333865888537","1.01709378546042","0.778882500295671","1.13169957979282","",
"Rwanda","RWA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","3.09770300873504","3.59005166406344","4.26687111764798","","","1.90960217581708","9.92440923433137","11.472678809418","6.01252202723663","1.27487181282047","1.32160200829886","1.87180882229848","5.40403987242508","11.5955677855114","11.183165313845","12.2410358565737","7.97755338078388","20.3904196700357","19.1654069228745","5.78807459736019","59.4555867560378","13.462088575021","10.5018931943374","22.1243002178613","0.535125142407155","0.502984626402819","3.94113731733626","2.94368413068135","1.27224137362632","2.59859019047657","3.55621027636305","1.21544945058236","5.35442501561488","4.26267589652293","7.68859491152321","6.99965705870481","5.37141024630079","12.888466373563","6.57916851420041","4.82721923826662","3.52457510864728","1.36062636750554","7.8241607784601","7.53371506411306","8.59163114139932","8.81147366883087","6.75106618973961","12.6665619277346","",
"Rwanda","RWA","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3818393199225","6.33897789186091","8.61258072307645","11.2942149346842","","37.4569874520354","35.088175963992","26.6428584667642","34.1911048887464","35.1376159794075","31.4407560198606","46.3016117072326","27.933112466431","25.0637471463376","35.8800089645487","45.1668198317922","39.8735818164701","47.728426891862","45.3122231010092","29.177973798398","22.4094104292018","29.4136298769588","30.314438220422","14.8783110729202","8.24267617414299","14.4742019090766","20.9179316429293","","",
"Rwanda","RWA","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.177545914537735","0.129846470802165","","0.00185901774874223","","0.00711314011479816","0","0","0.0207021893929761","0.0126880307428849","0.00416015534860654","0.0107732293468366","0.239934257663276","0.0536388840609877","0.0684734450545245","0.0358053478768208","0.0183622895975197","0.106275401403098","0.200175871031657","0.134400288536825","0.0716792615878137","0.0762331071262711","0.315761583690096","1.91424345145403","0.0438835362111073","0.0491650847321846","0.06254493579927","","",
